slice,bin_left,bin_right,count
fold_2,-0.03999999999999995,-0.03499999999999995,53
fold_2,-0.03499999999999995,-0.029999999999999943,25
fold_2,-0.029999999999999943,-0.02499999999999994,17
fold_2,-0.02499999999999994,-0.019999999999999934,49
fold_2,-0.019999999999999934,-0.01499999999999993,54
fold_2,-0.01499999999999993,-0.009999999999999926,55
fold_2,-0.009999999999999926,-0.004999999999999921,32
fold_2,-0.004999999999999921,8.326672684688674e-17,63
fold_2,8.326672684688674e-17,0.005000000000000088,55
fold_2,0.005000000000000088,0.010000000000000092,79
fold_2,0.010000000000000092,0.015000000000000097,52
fold_2,0.015000000000000097,0.0200000000000001,42
fold_2,0.0200000000000001,0.025000000000000105,86
fold_2,0.025000000000000105,0.03000000000000011,45
fold_2,0.03000000000000011,0.035000000000000114,44
fold_2,0.035000000000000114,0.04000000000000012,33
fold_2,0.04000000000000012,0.04500000000000012,34
fold_2,0.04500000000000012,0.05000000000000013,27
fold_2,0.05000000000000013,0.05500000000000013,14
fold_2,0.05500000000000013,0.06000000000000014,10
fold_2,0.06000000000000014,0.06500000000000014,6
fold_2,0.06500000000000014,0.07000000000000015,22
fold_2,0.07000000000000015,0.07500000000000015,10
fold_2,0.07500000000000015,0.08000000000000015,4
fold_2,0.08000000000000015,0.08500000000000016,12
fold_2,0.08500000000000016,0.09000000000000016,1
fold_2,0.09000000000000016,0.09500000000000017,4
fold_2,0.09500000000000017,0.10000000000000017,0
fold_3,-0.1,-0.095,9
fold_3,-0.095,-0.09,1
fold_3,-0.09,-0.08499999999999999,19
fold_3,-0.08499999999999999,-0.07999999999999999,6
fold_3,-0.07999999999999999,-0.07499999999999998,0
fold_3,-0.07499999999999998,-0.06999999999999998,8
fold_3,-0.06999999999999998,-0.06499999999999997,3
fold_3,-0.06499999999999997,-0.05999999999999997,10
fold_3,-0.05999999999999997,-0.054999999999999966,45
fold_3,-0.054999999999999966,-0.04999999999999996,2
fold_3,-0.04999999999999996,-0.04499999999999996,7
fold_3,-0.04499999999999996,-0.03999999999999995,6
fold_3,-0.03999999999999995,-0.03499999999999995,12
fold_3,-0.03499999999999995,-0.029999999999999943,24
fold_3,-0.029999999999999943,-0.02499999999999994,18
fold_3,-0.02499999999999994,-0.019999999999999934,34
fold_3,-0.019999999999999934,-0.01499999999999993,22
fold_3,-0.01499999999999993,-0.009999999999999926,26
fold_3,-0.009999999999999926,-0.004999999999999921,51
fold_3,-0.004999999999999921,8.326672684688674e-17,51
fold_3,8.326672684688674e-17,0.005000000000000088,95
fold_3,0.005000000000000088,0.010000000000000092,58
